"description","qid","item","wiki_name","name","label"
"building in Tokyo, Japan","Q583055","http://www.wikidata.org/entity/Q583055","Bunkamura","Bunkamura","1"
"type of a paperback book","Q1009641","http://www.wikidata.org/entity/Q1009641","Bunkobon","bunkobon","1"
"in the Swiss canton of Basel-Landschaft","Q745681","http://www.wikidata.org/entity/Q745681","Burg Castle (Burg im Leimental)","Burg Castle","1"
"rocca","Q365970","http://www.wikidata.org/entity/Q365970","Burg Raabs an der Thaya","Burg Raabs an der Thaya","1"
"castle in Burgdorf in the canton of Bern, Switzerland","Q453648","http://www.wikidata.org/entity/Q453648","Burgdorf Castle","Burgdorf Castle","1"
"type of civic boundary marker in Germany","Q1014946","http://www.wikidata.org/entity/Q1014946","Burgfriedensäule","Burgfriedenssäule","1"
"Manufacture of buses and coaches","Q17027266","http://www.wikidata.org/entity/Q17027266","Bus manufacturing","bus manufacturing","0"
"structure, larger than a bus stop, where city or intercity buses stop to pick up and drop off passengers","Q494829","http://www.wikidata.org/entity/Q494829","Bus station","bus station","0"
"political party centered on its leader","Q45093720","http://www.wikidata.org/entity/Q45093720","Business-firm party","Business-firm party","0"
"street festival that includes buskers","Q5001982","http://www.wikidata.org/entity/Q5001982","Buskers festival","buskers festival","2"
"American internet media company","Q5003490","http://www.wikidata.org/entity/Q5003490","BuzzFeed","BuzzFeed","2"
"Wikimedia disambiguation page","Q5003687","http://www.wikidata.org/entity/Q5003687","Bwindi","Bwindi","1"
"painting by Pierre-Auguste Renoir","Q472037","http://www.wikidata.org/entity/Q472037","By the Seashore","By the Seashore","2"
"Russian folk epic song","Q546440","http://www.wikidata.org/entity/Q546440","Bylina","bylina","2"
"river in New South Wales, Australia","Q59906","http://www.wikidata.org/entity/Q59906","Bylong River","Bylong River","1"
"architectural style","Q47591","http://www.wikidata.org/entity/Q47591","Byzantine architecture","Byzantine architecture","2"
"Eastern European legal code written in Greek","Q166834","http://www.wikidata.org/entity/Q166834","Byzantine law","Byzantine law","1"
"Japanese animation studio","Q16828691","http://www.wikidata.org/entity/Q16828691","C-Station","C-Station","2"
"Nigerian maritime company","Q60741684","http://www.wikidata.org/entity/Q60741684","C&I Leasing Group PLC","C&I Leasing Group PLC","1"
"Historical Museum in Montevideo","Q257698","http://www.wikidata.org/entity/Q257698","Montevideo Cabildo","Cabildo Historical Council","1"
"department or ministry that directly supports the work of the government's central executive office","Q3756431","http://www.wikidata.org/entity/Q3756431","Cabinet department","cabinet department","0"
"collection of notable objects","Q1146002","http://www.wikidata.org/entity/Q1146002","Cabinet of curiosities","cabinet of curiosities","0"
"chief executive body of the Arab Republic of Egypt","Q4206677","http://www.wikidata.org/entity/Q4206677","Cabinet of Egypt","Cabinet of Egypt","1"
"exercises executive authority in the State of Israel","Q2578249","http://www.wikidata.org/entity/Q2578249","Cabinet of Israel","cabinet of Israel","1"
"Wikimedia list article","Q2995336","http://www.wikidata.org/entity/Q2995336","Cabinet of the French Consulate","Cabinet of the French Consulate","1"
"small-scale painting, originally made for a curiosity cabinet","Q2448670","http://www.wikidata.org/entity/Q2448670","Cabinet painting","cabinet painting","0"
"Hong Kong news company","Q5015647","http://www.wikidata.org/entity/Q5015647","Cable News Hong Kong","Cable News Hong Kong","1"
"any of a variety of transportation systems relying on cables to pull vehicles along or lower them at a steady rate, or a vehicle on these systems","Q1424016","http://www.wikidata.org/entity/Q1424016","Cable transport","cableway","0"
"shipping term","Q111155","http://www.wikidata.org/entity/Q111155","Cabotage","cabotage","0"
"Hispanic term for indigenous American chief","Q599898","http://www.wikidata.org/entity/Q599898","Cacique","cacique","1"
"drink made with espresso coffee and a liquor","Q62451","http://www.wikidata.org/entity/Q62451","Caffè corretto","caffè corretto","2"
"Version of Pepsi soft drink","Q5017162","http://www.wikidata.org/entity/Q5017162","Caffeine-Free Pepsi","Caffeine-Free Pepsi","0"
"textile (Alanic) at the Metropolitan Museum of Art (MET, 1996.78.1)","Q29384537","http://www.wikidata.org/entity/Q29384537","Caftan (Metropolitan Museum of Art)","Caftan","1"
"spider web ceiling","Q5017834","http://www.wikidata.org/entity/Q5017834","Caisson (Asian architecture)","caisson","0"
"Beijing-based media group","Q5017958","http://www.wikidata.org/entity/Q5017958","Caixin","Caixin Media","2"
"group of species of tree","Q5017979","http://www.wikidata.org/entity/Q5017979","Cajeput tree","Cajeput tree","0"
"mountain in the Glarus Alps","Q16529","http://www.wikidata.org/entity/Q16529","Calanda (mountain)","Calanda","1"
"comic","Q5018612","http://www.wikidata.org/entity/Q5018612","Calavera (comics)","Calavera","2"
"annual award for illustrating a children's picture book published in the U.S.","Q1026417","http://www.wikidata.org/entity/Q1026417","Caldecott Medal","Caldecott Medal","1"
"Welsh new year tradition","Q5019527","http://www.wikidata.org/entity/Q5019527","Calennig","Calennig","1"
"ballot measure in Calfornia increasing train network funding","Q5020792","http://www.wikidata.org/entity/Q5020792","2008 California Proposition 1A","California Proposition 1A","1"
"Californian law","Q5020815","http://www.wikidata.org/entity/Q5020815","2008 California Proposition 3","California Proposition 3","1"
"artist who practices calligraphy","Q3303330","http://www.wikidata.org/entity/Q3303330","Calligrapher","calligrapher","0"
"type of dance","Q369261","http://www.wikidata.org/entity/Q369261","Călușari","Căluşari","1"
"American brand of blended whiskey","Q5024250","http://www.wikidata.org/entity/Q5024250","Calvert Extra","Calvert Extra","2"
"athletics competitor (1884–1963)","Q718829","http://www.wikidata.org/entity/Q718829","Calvin Bricker","Calvin Bricker","1"
"American fashion designer","Q214800","http://www.wikidata.org/entity/Q214800","Calvin Klein","Calvin Klein","2"
"species of plant","Q159012","http://www.wikidata.org/entity/Q159012","Calystegia soldanella","Calystegia soldanella","0"
"species of plant","Q160121","http://www.wikidata.org/entity/Q160121","Camellia japonica","Camellia japonica","0"
"auto racer (1868–1913)","Q963863","http://www.wikidata.org/entity/Q963863","Camille Jenatzy","Camille Jenatzy","2"
"mountain of the Lugano Prealps","Q16534","http://www.wikidata.org/entity/Q16534","Camoghè","Camoghè","1"
"person who designed and implemented military camouflage in one of the world wars of the twentieth century","Q11811983","http://www.wikidata.org/entity/Q11811983","List of camoufleurs","camoufleur","0"
"genus of plants","Q157069","http://www.wikidata.org/entity/Q157069","Campanula","Campanula","0"
"area in ancient Rome","Q5028621","http://www.wikidata.org/entity/Q5028621","Campus Agrippae","Campus Agrippae","1"
"area on the Esquiline Hill in Ancient Rome","Q5028639","http://www.wikidata.org/entity/Q5028639","Campus Esquilinus","Campus Esquilinus","1"
"Japanese historical campus","Q5028728","http://www.wikidata.org/entity/Q5028728","Campus of the University of Tokyo","Campus of the University of Tokyo","1"
"group of ancient Semitic religions","Q2914567","http://www.wikidata.org/entity/Q2914567","Canaanite religion","Canaanite religion","1"
"international border between Canada and the USA","Q119515","http://www.wikidata.org/entity/Q119515","Canada–United States border","Canada–United States border","0"
"Branch of the Department of the Environment","Q3480080","http://www.wikidata.org/entity/Q3480080","Canadian Wildlife Service","Canadian Wildlife Service","1"
"man-made channel for water","Q12284","http://www.wikidata.org/entity/Q12284","Canal","canal","0"
"legal for medical use and recreational use","Q2338725","http://www.wikidata.org/entity/Q2338725","Cannabis in California","cannabis in California","0"
"one of many political parties advocating the single issue of cannabis legalization","Q5032604","http://www.wikidata.org/entity/Q5032604","Cannabis political parties","cannabis political party","0"
"ordinances and regulations made by Church leadership for the government of a Christian organization or church and its members","Q188462","http://www.wikidata.org/entity/Q188462","Canon law","canon law","2"
"declaration that a deceased person is an officially recognized saint","Q51621","http://www.wikidata.org/entity/Q51621","Canonization","canonization","2"
"elevated walkway","Q811593","http://www.wikidata.org/entity/Q811593","Canopy walkway","canopy walkway","0"
"genre of the Galician-Portuguese lyric","Q1033810","http://www.wikidata.org/entity/Q1033810","Cantiga de amigo","cantiga de amigo","1"
"sports team","Q519584","http://www.wikidata.org/entity/Q519584","Canton Legends","Canton Legends","1"
"species of fish","Q143359","http://www.wikidata.org/entity/Q143359","Capelin","Capelin","0"
"weekly newspaper from North Macedonia","Q25738","http://www.wikidata.org/entity/Q25738","Kapital (newspaper)","Capital","1"
"mass transit system in Austin, Texas, and surrounding areas","Q587830","http://www.wikidata.org/entity/Q587830","CapMetro","Capital Metropolitan Transportation Authority","1"
"former municipal council of Toulouse, France","Q2937507","http://www.wikidata.org/entity/Q2937507","Capitoul","Capitoul","1"
"2005–2009 comic book series","Q5036538","http://www.wikidata.org/entity/Q5036538","Captain America (vol. 5)","Captain America","2"
"American comic book series","Q5036539","http://www.wikidata.org/entity/Q5036539","Captain America and the Falcon","Captain America and the Falcon","2"
"genre of accounts by survivors","Q1035168","http://www.wikidata.org/entity/Q1035168","Captivity narrative","captivity narrative","0"
"metalcore band","Q130928","http://www.wikidata.org/entity/Q130928","Capture (band)","Capture","1"
"Roman emperor from 198 to 217","Q1446","http://www.wikidata.org/entity/Q1446","Caracalla","Caracalla","2"
"city deriving its prosperity from a caravan route","Q16825568","http://www.wikidata.org/entity/Q16825568","Caravan city","caravan city","0"
"pasta dish","Q876624","http://www.wikidata.org/entity/Q876624","Carbonara","carbonara","2"
"traditional Spanish dish","Q3848112","http://www.wikidata.org/entity/Q3848112","Carcamusas","carcamusa","1"
"capital city of Wales, United Kingdom","Q10690","http://www.wikidata.org/entity/Q10690","Cardiff","Cardiff","1"
"university in Cardiff, Wales","Q5038449","http://www.wikidata.org/entity/Q5038449","Cardiff Metropolitan University","Cardiff Metropolitan University","1"
"type of temporary government","Q3112663","http://www.wikidata.org/entity/Q3112663","Caretaker government","caretaker government","0"
"airline primarily involved in transport of air freight as opposed to passenger services","Q1057026","http://www.wikidata.org/entity/Q1057026","Cargo airline","cargo airline","0"
"annual Twenty20 cricket tournament held in the Caribbean","Q5039412","http://www.wikidata.org/entity/Q5039412","Caribbean Premier League","Caribbean Premier League","2"
"musician who plays the carillon","Q18749693","http://www.wikidata.org/entity/Q18749693","Carillonneur","carillonist","1"
"Austrian architect (1837–1895)","Q88783","http://www.wikidata.org/entity/Q88783","Carl Gangolf Kayser","Carl Gangolf Kayser","1"
"Austrian musician (1823-1878)","Q84821","http://www.wikidata.org/entity/Q84821","Carl Heissler","Carl Heissler","1"
"architect (1849–1914)","Q88656","http://www.wikidata.org/entity/Q88656","Carl Holzmann","Carl Holzmann","1"
"Swedish botanist, physician, and zoologist (1707–1778)","Q1043","http://www.wikidata.org/entity/Q1043","Carl Linnaeus","Carl Linnaeus","2"
"Swedish botanist (1741–1783)","Q178823","http://www.wikidata.org/entity/Q178823","Carl Linnaeus the Younger","Carl Linnaeus the Younger","1"
"Danish composer","Q205139","http://www.wikidata.org/entity/Q205139","Carl Nielsen","Carl Nielsen","2"
"Arabian horse expert (1893–1966)","Q108116","http://www.wikidata.org/entity/Q108116","Carl Raswan","Carl Raswan","1"
"German architect (1731-1791)","Q68768","http://www.wikidata.org/entity/Q68768","Carl von Gontard","Carl von Gontard","1"
"American journalist, first dean of the Columbia School of Journalism (1890–1970)","Q15153","http://www.wikidata.org/entity/Q15153","Carl W. Ackerman","Carl W. Ackerman","1"
"German classical archaeologist (1877-1948)","Q78120","http://www.wikidata.org/entity/Q78120","Carl Watzinger","Carl Watzinger","1"
"German heraldic artist (1909-2009)","Q213876","http://www.wikidata.org/entity/Q213876","Carl-Alexander von Volborth","Carl-Alexander von Volborth","1"
"Italian film director, screenwriter and critic (1922-2013)","Q26208","http://www.wikidata.org/entity/Q26208","Carlo Lizzani","Carlo Lizzani","2"
"German publishing company, subsidiary of the homonymous Danish publishing house which in turn belongs to the Swedish media company Bonnier","Q289299","http://www.wikidata.org/entity/Q289299","Carlsen Verlag","Carlsen Verlag","1"
"Australian beer","Q5042992","http://www.wikidata.org/entity/Q5042992","Carlton Draught","Carlton Draught","2"
"American singer and actor","Q8160","http://www.wikidata.org/entity/Q8160","Carly Rose Sonenclar","Carly Rose Sonenclar","1"
"Italian meat dish","Q3905969","http://www.wikidata.org/entity/Q3905969","Pizzaiola","Carne pizzaiola","1"
"American record label","Q264137","http://www.wikidata.org/entity/Q264137","Caroline Records","Caroline Records","1"
"American dancer","Q435185","http://www.wikidata.org/entity/Q435185","Carolyn Carlson (artist)","Carolyn Carlson","1"
"annual film festival held in Rimouski, Canada","Q168936","http://www.wikidata.org/entity/Q168936","Carrousel international du film de Rimouski","Carrousel International du Film","1"
"method for carrying a burden","Q5046830","http://www.wikidata.org/entity/Q5046830","Head-carrying","carrying on the head","0"
"German scientist","Q108384","http://www.wikidata.org/entity/Q108384","Carsten Niemitz","Carsten Niemitz","1"
"Noodle dish which became popular in Hong Kong in the 1950s through being sold by street vendors from carts","Q835336","http://www.wikidata.org/entity/Q835336","Cart noodle","cart noodle","1"
"Baroque architectural style in Scandinavia and Germany","Q1777427","http://www.wikidata.org/entity/Q1777427","Cartilage Baroque","Cartilage baroque","2"
"portrayal of illustrated or animated fictional cartoon characters in erotic or sexual situations","Q4373044","http://www.wikidata.org/entity/Q4373044","Cartoon pornography","cartoon pornography","0"
"heritage site in Bucharest, Romania","Q28224665","http://www.wikidata.org/entity/Q28224665","Cărturești Carusel","Cărturești Carusel","1"
"class of buildings erected in Italy during the Fascist regime as local seats of the National Fascist Party","Q3661218","http://www.wikidata.org/entity/Q3661218","Casa del Fascio","casa del fascio","1"
"Mexican brand of Tequila","Q5047815","http://www.wikidata.org/entity/Q5047815","Casa Dragones","Casa Dragones","2"
"type of cocktail","Q5047857","http://www.wikidata.org/entity/Q5047857","Casa Noble","Casa Noble","2"
"house museum in Humacao, Puerto Rico","Q5047877","http://www.wikidata.org/entity/Q5047877","Casa Roig Museum","Casa Roig Museum","1"
"extinct family of cartiliginous fish","Q20202279","http://www.wikidata.org/entity/Q20202279","Caseodontidae","Caseodontidae","0"
"ritual dismissal for breach of discipline","Q2671818","http://www.wikidata.org/entity/Q2671818","Cashiering","cashiering","0"
"German theologian","Q64137","http://www.wikidata.org/entity/Q64137","Caspar Schwenckfeld","Caspar Schwenckfeld","1"
"publication produced on audio or computer cassette","Q5049323","http://www.wikidata.org/entity/Q5049323","Cassette magazine","cassette magazine","0"
"actor, dancer or singer who performs in a theatrical production, movie or TV program","Q3297652","http://www.wikidata.org/entity/Q3297652","Cast member","cast member","0"
"material simulating natural stone","Q5049565","http://www.wikidata.org/entity/Q5049565","Cast stone","cast stone","0"
"Canadian rugby club","Q2941339","http://www.wikidata.org/entity/Q2941339","Castaway Wanderers RFC","Castaway Wanderers","1"
"castle","Q917896","http://www.wikidata.org/entity/Q917896","Castle of Belmonte (Cuenca)","Castillo de Belmonte","1"
"castle","Q842129","http://www.wikidata.org/entity/Q842129","Sohail Castle","Castillo de Suel","1"
"mountain in the Pennine Alps","Q30446","http://www.wikidata.org/entity/Q30446","Castor (mountain)","Castor","0"
"suit made to resemble a feline","Q48767474","http://www.wikidata.org/entity/Q48767474","Cat suit","cat suit","0"
"comprehensive, annotated listing of all the known artworks by an artist","Q1050259","http://www.wikidata.org/entity/Q1050259","Catalogue raisonné","catalogue raisonné","0"
"art gallery in San Francisco","Q5052096","http://www.wikidata.org/entity/Q5052096","Catharine Clark Gallery","Catharine Clark Gallery","1"
"Christian dualist movement that thrived in some areas of Southern Europe","Q161696","http://www.wikidata.org/entity/Q161696","Catharism","Catharism","1"
"cultural property in San Cristóbal de La Laguna, Spain","Q34562","http://www.wikidata.org/entity/Q34562","Cathedral of La Laguna","Cathedral of La Laguna","1"
"American cartoonist","Q516915","http://www.wikidata.org/entity/Q516915","Cathy Guisewite","Cathy Guisewite","2"
"movement of a herd of cattle from one place to another","Q5054111","http://www.wikidata.org/entity/Q5054111","Cattle drive","cattle drive","2"
"Italian comune","Q111800","http://www.wikidata.org/entity/Q111800","Cattolica","Cattolica","1"
"literary style of short informal essays","Q1051620","http://www.wikidata.org/entity/Q1051620","Causerie","causerie","1"
"temporary or permanent stoppage of war","Q208383","http://www.wikidata.org/entity/Q208383","Ceasefire","ceasefire","0"
"American University president","Q2748526","http://www.wikidata.org/entity/Q2748526","Cecil O. Samuelson","Cecil O. Samuelson","1"
"Belgian centre of excellence for the history of 20th century conflicts","Q1023323","http://www.wikidata.org/entity/Q1023323","Study and Documentation Centre for War and Contemporary Society","CegeSoma","1"
"artwork applied directly to a ceiling","Q1181933","http://www.wikidata.org/entity/Q1181933","Plafond","ceiling painting","0"
"animation technique","Q1049253","http://www.wikidata.org/entity/Q1049253","Cel shading","cel shading","0"
"Celery-flavored soft drink","Q5057407","http://www.wikidata.org/entity/Q5057407","Cel-Ray","Cel-Ray","1"
"head of the Zhengyi Dao religion","Q3057973","http://www.wikidata.org/entity/Q3057973","List of Celestial Masters","Celestial Master","1"
"two imaginary points in the sky where the Earth's axis of rotation, indefinitely extended, intersects the imaginary rotating sphere of stars called the celestial sphere","Q12119","http://www.wikidata.org/entity/Q12119","Celestial pole","celestial pole","0"
"building material that reduces the transfer of heat and sound","Q2994885","http://www.wikidata.org/entity/Q2994885","Cellulose insulation","cellulose insulation","0"
"religion practiced by ancient Celtic people","Q263031","http://www.wikidata.org/entity/Q263031","Ancient Celtic religion","Celtic polytheism","1"
"hydraulic binder used in the composition of mortar and concrete","Q45190","http://www.wikidata.org/entity/Q45190","Cement","cement","0"
"backing board used in building construction","Q2000568","http://www.wikidata.org/entity/Q2000568","Cement board","cement board","0"
"place of burial","Q39614","http://www.wikidata.org/entity/Q39614","Cemetery","cemetery","0"
"Indonesian traditional drink from Jawa Tengah","Q867426","http://www.wikidata.org/entity/Q867426","Cendol","Cendol","2"
"two sinkholes in Mersin Province; Turkey","Q474939","http://www.wikidata.org/entity/Q474939","Cennet and Cehennem","Cennet and Cehennem","1"
"monastic tradition that stresses community life","Q674824","http://www.wikidata.org/entity/Q674824","Cenobitic monasticism","cenobitic monasticism","2"
"Concrete material using fly ash in place of cement","Q19903797","http://www.wikidata.org/entity/Q19903797","Cenocell","Cenocell","0"
"empty tomb or monument erected in honor of a person whose remains are lost or interred elsewhere","Q321053","http://www.wikidata.org/entity/Q321053","Cenotaph","cenotaph","0"
"statistical concentration of population defined by the United States Census Bureau","Q498162","http://www.wikidata.org/entity/Q498162","Census-designated place","census-designated place in the United States","1"
"photography archive in Tucson, Arizona","Q2944356","http://www.wikidata.org/entity/Q2944356","Center for Creative Photography","Center for Creative Photography","1"
"in demography, the geographical point that describes the centerpoint of a specific area's population","Q852031","http://www.wikidata.org/entity/Q852031","Center of population","center of population","0"
"commercial and business area of a city; not necessarily synonymous with ""city center""/""downtown""","Q738570","http://www.wikidata.org/entity/Q738570","Central business district","central business district","0"
"type of government found in unitary states","Q1320217","http://www.wikidata.org/entity/Q1320217","Central government","central government","0"
"government of a federated state (state, province, ...) in a federation","Q1802419","http://www.wikidata.org/entity/Q1802419","State government","central government","0"
"official archives of the institutions of the Zionist Movement","Q2903101","http://www.wikidata.org/entity/Q2903101","Central Zionist Archives","Central Zionist Archives","1"
"contemporary art gallery based in Manchester, UK, which aims to advance the education of the public in contemporary Chinese arts and culture","Q5100384","http://www.wikidata.org/entity/Q5100384","Esea contemporary","Centre for Chinese Contemporary Art","2"
"museum in Switzerland","Q3664664","http://www.wikidata.org/entity/Q3664664","Centre pour l'Image Contemporaine","Centre pour l’Image Contemporaine","1"
"contemporary arts museum and arts centre in Prato, Italy","Q2946179","http://www.wikidata.org/entity/Q2946179","Centro per l'arte contemporanea Luigi Pecci","Centro per l'arte contemporanea Luigi Pecci","1"
"voluntary association","Q871347","http://www.wikidata.org/entity/Q871347","Centrum Schwule Geschichte","Centrum Schwule Geschichte","1"
"type of museum","Q25964553","http://www.wikidata.org/entity/Q25964553","Ceramics museum","ceramics museum","0"
"genus of plants","Q29033","http://www.wikidata.org/entity/Q29033","Cercis","Cercis","0"
"major category or classification of dance forms or dance styles, where the purpose is ceremonial or ritualistic","Q3595906","http://www.wikidata.org/entity/Q3595906","Ceremonial dance","ceremonial dance","0"
"art gallery in the UK","Q5064231","http://www.wikidata.org/entity/Q5064231","Ceri Hand Gallery","Ceri Hand Gallery","1"
"Elbasan country","Q18730","http://www.wikidata.org/entity/Q18730","Cërrik","Cërrik","1"
"neighbourhood in Montevideo, Uruguay","Q177318","http://www.wikidata.org/entity/Q177318","Cerrito, Montevideo","Cerrito","1"
"Uruguayan actor (1929-2005)","Q367912","http://www.wikidata.org/entity/Q367912","César Campodónico","César Campodónico","1"
"German artist (1876-1954)","Q213848","http://www.wikidata.org/entity/Q213848","Cesar Klein","Cesar Klein","1"
"baloch folk dance","Q111317655","http://www.wikidata.org/entity/Q111317655","Chaap","Chaap","1"
"type of woven metal fencing","Q1906859","http://www.wikidata.org/entity/Q1906859","Chain-link fencing","chain-link fencing","0"
"elected position of the New Zealand Legislative Council","Q5068086","http://www.wikidata.org/entity/Q5068086","Chairman of Committees (New Zealand Legislative Council)","Chairman of Committees","1"
"تركيا","Q936218","http://www.wikidata.org/entity/Q936218","Chakhchoukha","Chakhchoukha","1"
"Austrian rapper","Q78933","http://www.wikidata.org/entity/Q78933","Chakuza","Chakuza","1"
"folk music genre from Northeast Argentina and Argentinian Mesopotamia","Q1060475","http://www.wikidata.org/entity/Q1060475","Chamamé","chamamé","1"
"method of adapting literary works to the stage","Q5069560","http://www.wikidata.org/entity/Q5069560","Chamber theatre","Chamber theatre","0"
"typical corn drink of Peruvian cuisine","Q5070230","http://www.wikidata.org/entity/Q5070230","Champús","Champús","1"
"executive position in a government","Q373085","http://www.wikidata.org/entity/Q373085","Chancellor","chancellor","2"
"Indian dancer and choreographer (1928–2006)","Q539901","http://www.wikidata.org/entity/Q539901","Chandralekha (dancer)","Chandralekha","2"
"Chinese film production company","Q5071736","http://www.wikidata.org/entity/Q5071736","Changchun Film Studio","Changchun Film Studio","1"
"Use of channel island milk","Q5072402","http://www.wikidata.org/entity/Q5072402","Channel Island milk","Channel Island milk","1"
"type of poet songwriter, in France and Quebec, Canada","Q13391399","http://www.wikidata.org/entity/Q13391399","Chansonnier (singer)","chansonnier","2"
"traditional Iranian postal system","Q5072923","http://www.wikidata.org/entity/Q5072923","Chapar Khaneh","chapar khaneh","1"
"dance","Q1062722","http://www.wikidata.org/entity/Q1062722","Chapelloise","Chapelloise","1"
"constitutionally-mandated government agencies established to guard democracy in South Africa","Q5073533","http://www.wikidata.org/entity/Q5073533","Chapter nine institutions","Chapter nine institutions","1"
"type of Spanish music ensemble","Q16826311","http://www.wikidata.org/entity/Q16826311","Charanga (Spain)","charanga","1"
"Cuban music ensemble","Q2005853","http://www.wikidata.org/entity/Q2005853","Charanga (Cuba)","Charanga","2"
"Group of famous musicians formed to raise funds or awareness","Q3361987","http://www.wikidata.org/entity/Q3361987","Charity supergroup","charity supergroup","0"
"folk custom","Q663109","http://www.wikidata.org/entity/Q663109","Charivari","charivari","1"
"American cartoonist (1912–1988)","Q361106","http://www.wikidata.org/entity/Q361106","Charles Addams","Charles Addams","2"
"French poet and critic (1821–1867)","Q501","http://www.wikidata.org/entity/Q501","Charles Baudelaire","Charles Baudelaire","2"
"French government ministry in 1870","Q2540014","http://www.wikidata.org/entity/Q2540014","Cousin-Montauban ministry","Charles Cousin-Montauban administration","1"
"American animation studio","Q16961108","http://www.wikidata.org/entity/Q16961108","CHRLX","Charlex","2"
"British comic actor and filmmaker (1889–1977)","Q882","http://www.wikidata.org/entity/Q882","Charlie Chaplin","Charlie Chaplin","2"
"series of literary prizes awarded once every three years from 1988 to an author of the best Dutch literary work from the previous period, alternating within the categories of prose, poetry or drama.","Q2048495","http://www.wikidata.org/entity/Q2048495","Charlotte Köhler Prize","Charlotte Köhler Prize for literature","1"
"German-Jewish artist and Holocaust victim (1917-1943)","Q213735","http://www.wikidata.org/entity/Q213735","Charlotte Salomon","Charlotte Salomon","2"
"traditional horseman of Mexico","Q913532","http://www.wikidata.org/entity/Q913532","Charro","charro","2"
"monument","Q1067824","http://www.wikidata.org/entity/Q1067824","Chartered Company Monument","Chartered Company Monument","1"
"Japanese tea house","Q946790","http://www.wikidata.org/entity/Q946790","Chashitsu","chashitsu","2"
"historic area in Bradley County, Tennessee, United States","Q5087505","http://www.wikidata.org/entity/Q5087505","Chatata","Chatata","1"
"castle in Linardié, France","Q5118799","http://www.wikidata.org/entity/Q5118799","Château de Linardié","château de Linardié","1"
"former theater and movie theater in Rochester, Minnesota, United States, later converted to a bookstore","Q5087549","http://www.wikidata.org/entity/Q5087549","Chateau Theatre","Chateau Theatre","1"
"monument located in Aisne, in France","Q470013","http://www.wikidata.org/entity/Q470013","Château-Thierry American Monument","Chateau-Thierry American Monument","1"
"South Asian cooking technique","Q3222589","http://www.wikidata.org/entity/Q3222589","Tempering (spices)","Chaunk","2"
"Scandals affected the Paralympic Games","Q5088951","http://www.wikidata.org/entity/Q5088951","Cheating at the Paralympic Games","Cheating at the Paralympic Games","0"
"cheerleading gym based in North Carolina, United States","Q2961954","http://www.wikidata.org/entity/Q2961954","Cheer Extreme Allstars","Cheer Extreme Allstars","1"
"performer who leads crowd support at sports events with routines combining dance, gymnastics, and stunts","Q28971125","http://www.wikidata.org/entity/Q28971125","Cheerleader","cheerleader","2"
"snack","Q861293","http://www.wikidata.org/entity/Q861293","Cheese on toast","cheese on toast","2"
"loosely woven carded cotton cloth used primarily in cooking and cheesemaking","Q2621157","http://www.wikidata.org/entity/Q2621157","Cheesecloth","cheesecloth","0"
"person that directs preparation of meals","Q3499072","http://www.wikidata.org/entity/Q3499072","Chef","chef","0"
"fictional character of the South Park series","Q47594","http://www.wikidata.org/entity/Q47594","Chef (South Park)","Chef","2"
"kitchen worker in a restaurant","Q2962026","http://www.wikidata.org/entity/Q2962026","Chef de partie","chef de partie","2"
"defunct French railway company (1852–1934)","Q378181","http://www.wikidata.org/entity/Q378181","Chemins de fer du Midi","Chemins de fer du Midi","1"
"caftan worn among Turkic people and the Cossacks","Q4508312","http://www.wikidata.org/entity/Q4508312","Chepken","Chepken","2"
"blossom of the cherry tree","Q871991","http://www.wikidata.org/entity/Q871991","Cherry blossom","cherry blossom","2"
"boys' love manga","Q98969631","http://www.wikidata.org/entity/Q98969631","Cherry Magic! Thirty Years of Virginity Can Make You a Wizard?!","Cherry Magic! Thirty Years of Virginity Can Make You a Wizard?!","2"
"American theatre director and producer (1902-1986)","Q276056","http://www.wikidata.org/entity/Q276056","Cheryl Crawford","Cheryl Crawford","1"
"club formed for the purpose of playing the board game of chess","Q1896682","http://www.wikidata.org/entity/Q1896682","Chess club","chess club","0"
"individual who takes part in chess tournaments","Q10873124","http://www.wikidata.org/entity/Q10873124","Chess player","chess player","0"
"American record company, founded in 1950 in Chicago","Q772494","http://www.wikidata.org/entity/Q772494","Chess Records","Chess Records","2"
"woven fabric made originally from the wool of Cheviot sheep","Q4521974","http://www.wikidata.org/entity/Q4521974","Cheviot (cloth)","cheviot","2"
"memorial hall in Taipei","Q540794","http://www.wikidata.org/entity/Q540794","Chiang Kai-shek Memorial Hall","Chiang Kai-shek Memorial Hall","1"
"tabletop role-playing game supplement for Vampire: The Masquerade","Q85751888","http://www.wikidata.org/entity/Q85751888","Chicago by Night","Chicago by Night","1"
"not-for-profit media company","Q628699","http://www.wikidata.org/entity/Q628699","Chicago Public Media","Chicago Public Media","1"
"beverage","Q286647","http://www.wikidata.org/entity/Q286647","Chicha morada","chicha morada","2"
"Term for popular women's fiction principally used in 1990s and 2000s, now usually regarded as sexist.","Q477756","http://www.wikidata.org/entity/Q477756","Chick lit","chick lit","2"
"boneless chicken pieces cooked in a tandoor","Q2548408","http://www.wikidata.org/entity/Q2548408","Chicken tikka","chicken tikka","2"
"position; public official in several countries","Q7603655","http://www.wikidata.org/entity/Q7603655","State architect","chief architect","0"
"executive responsible for content in broadcasting","Q5096974","http://www.wikidata.org/entity/Q5096974","Chief content officer","chief content officer","0"
